Position,Athlete,Time,Sex,Year
3,Bosena Mulatie,2:19:00,F,2024
4,Ayana Aberu Mulisa,2:20:20,F,2024
5,Ai Hosoda,2:20:31,F,2024
6,Mizuki Matsuda,2:20:42,F,2024
7,Calli Hauger-Thackery,2:21:24,F,2024
8,Yebregual Melese,2:21:39,F,2024
9,Fikrte Wereta,2:23:23,F,2024
10,Meseret Sisay Gola,2:23:36,F,2024
1,Sabastian Sawe,2:02:16,M,2025
2,Akira Akasaki,2:06:15,M,2025
3,Chimdessa Debele,2:06:57,M,2025
4,Guye Adola,2:07:11,M,2025
5,Yuhei Urano,2:07:35,M,2025
6,Hassan Chahdi,2:07:43,M,2025
7,Shin Kimura,2:08:37,M,2025
8,Hendrik Pfeiffer,2:09:14,M,2025
9,Joseph Tiophil Panga,2:09:35,M,2025
10,Ahmed Ouhda,2:10:39,M,2025
1,Rosemary Wanjiru,2:21:05,F,2025
2,Dera Dida,2:21:08,F,2025
3,Azmera Gebru,2:21:29,F,2025
4,Violah Cheptoo,2:21:40,F,2025
5,Fantu Worku,2:21:57,F,2025
6,Fabienne Königstein,2:22:17,F,2025
7,Degitu Azimeraw,2:23:02,F,2025
8,Domenika Mayer,2:23:16,F,2025
9,Honami Maeda,2:24:36,F,2025
10,Mestawut Fikir,2:24:52,F,2025
