Position,Athlete,Time,Sex,Year
6,Joel Reichow,2:09:56,M,2025
7,Charles Hicks,2:09:59,M,2025
8,Sondre Nordstad Moen,2:10:15,M,2025
9,Tsegay Weldibanos,2:10:36,M,2025
10,Joe Klecker,2:10:37,M,2025
11,Daniele Meucci,2:10:40,M,2025
12,Hillary Bor,2:10:47,M,2025
13,Abbabiya Simbassa,2:10:53,M,2025
14,Abel Kipchumba ,2:11:06,M,2025
15,Colin Bennie,2:12:35,M,2025
16,Emmanuel Levisse,2:13:05,M,2025
17,Eliud Kipchoge,2:14:36,M,2025
18,Yudai Fukuda,2:14:51,M,2025
19,Matthew Leach,2:15:48,M,2025
20,Reed Fischer,2:16:53,M,2025
1,Lyudmila Petrova,2:25:45,F,2000
2,Franca Fiacconi,2:26:03,F,2000
3,Margaret Okayo,2:26:36,F,2000
4,Hellen Jemaiyo Kimutai,2:26:42,F,2000
5,Florence Barsosio,2:27:00,F,2000
6,Tegla Loroupe,2:29:35,F,2000
7,Sun Yingjie,2:30:13,F,2000
8,Kerryn McCann,2:30:39,F,2000
9,Esther Kiplagat,2:30:52,F,2000
10,Yuko Arimori,2:31:12,F,2000
11,Hellen Kimaiyo,2:32:11,F,2000
12,Svetlana Zakharova,2:32:35,F,2000
13,Adriana Fernández,2:35:20,F,2000
14,Silvana Trampuz,2:37:02,F,2000
15,Zofia Wieciorkowska,2:43:09,F,2000
16,Gordon Bakoulis,2:45:17,F,2000
17,Dorian Meyer,2:45:53,F,2000
18,Kari-Anne Bertrand,2:47:45,F,2000
19,Gillian Horovitz,2:48:17,F,2000
20,Kelly Liljeblad,2:48:19,F,2000
1,Margaret Okayo,2:24:21,F,2001
2,Susan Chepkemei,2:25:12,F,2001
3,Svetlana Zakharova,2:25:13,F,2001
4,Joyce Chepchumba,2:25:51,F,2001
5,Esther Kiplagat,2:26:15,F,2001
6,Lyudmila Petrova,2:26:18,F,2001
7,Deena Kastor,2:26:58,F,2001
8,Yelena Paramonova,2:30:03,F,2001
9,Madina Biktagirova,2:31:14,F,2001
10,Elana Meyer,2:31:43,F,2001
11,Florence Barsosio,2:31:50,F,2001
12,Franca Fiacconi,2:32:57,F,2001
13,Milena Glusac,2:34:46,F,2001
14,Colleen De Reuck,2:35:31,F,2001
15,Jeanne Cooper,2:39:58,F,2001
16,Monica Hostetler,2:41:38,F,2001
17,Gordon Bakoulis,2:41:43,F,2001
18,Brynhild Synstnes,2:41:58,F,2001
19,Rosana Gutierrez,2:42:26,F,2001
20,Kelly Cordell,2:42:28,F,2001
1,Joyce Chepchumba,2:25:56,F,2002
2,Lyubov Denisova,2:26:17,F,2002
3,Esther Kiplagat,2:27:00,F,2002
4,Marla Runyan,2:27:10,F,2002
5,Margaret Okayo,2:27:46,F,2002
6,Kerryn McCann,2:27:51,F,2002
7,Lornah Kiplagat,2:28:41,F,2002
8,Lyudmila Petrova,2:29:00,F,2002
9,Milena Glusac,2:31:14,F,2002
10,Zinaida Semenova,2:31:39,F,2002
11,Sonia O'Sullivan,2:32:06,F,2002
12,Sylvia Mosqueda,2:33:47,F,2002
13,Kimberly Fitchen,2:38:05,F,2002
14,Carol Howe,2:38:37,F,2002
15,Faustina-Maria Ramos,2:39:40,F,2002
